Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
日,42,木田　優夫,0.00,1,0,0,0,0,.000,5,1.0,2,0,1,0,0,0,0,3.00,6.12
日,20,糸数　敬作,0.00,1,0,0,0,0,.000,3,0.1,1,0,1,0,0,0,0,6.00,12.12
日,37,土屋　健二,NaN,1,0,1,0,0,.000,5,0.0,4,1,1,0,0,5,5,NaN,NaN
日,30,松家　卓弘,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,59,金森　敬之,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,55,運天　ジョン・クレイトン,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,69,宮本　賢,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,63,上沢　直之,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,14,大塚　豊,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,35,榎下　陽大,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,58,齊藤　勝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
マ,17,成瀬　善久,2.83,28,12,11,0,0,.522,806,200.2,176,21,34,2,122,71,63,1.05,3.79
マ,46,グライシンガー,2.24,25,12,8,0,0,.600,666,168.2,144,5,24,5,112,52,42,1.00,2.69
マ,18,藤岡　貴裕,3.36,21,6,7,0,0,.462,508,115.1,113,9,51,4,83,48,43,1.42,4.10
マ,19,唐川　侑己,2.66,12,8,2,0,0,.800,341,84.2,81,4,15,2,32,26,25,1.13,3.55
マ,14,大谷　智久,3.20,42,4,6,0,5,.400,345,81.2,84,1,19,1,44,30,29,1.26,2.90
マ,29,小野　晋吾,3.44,15,2,5,0,0,.286,336,81.0,74,6,17,5,42,32,31,1.12,3.86
マ,52,益田　直也,1.67,72,2,2,1,41,.500,308,75.1,61,2,19,2,57,25,14,1.06,2.67
マ,31,渡辺　俊介,4.39,13,4,4,0,0,.500,302,69.2,80,7,13,2,22,36,34,1.33,4.44
マ,38,中郷　大樹,2.51,44,3,1,0,6,.750,276,68.0,54,4,18,5,36,21,19,1.06,3.80
マ,49,薮田　安彦,3.34,61,1,6,26,8,.143,250,56.2,58,4,22,3,43,22,21,1.41,3.53
マ,12,吉見　祐治,5.17,8,1,2,0,0,.333,135,31.1,30,3,13,0,16,18,18,1.37,4.59
マ,60,阿部　和成,3.95,6,0,2,0,0,.000,111,27.1,28,3,5,0,6,13,12,1.21,4.66
マ,36,マシス,6.49,6,1,4,0,0,.200,124,26.1,41,2,8,0,14,19,19,1.86,3.96
マ,15,上野　大樹,2.77,5,0,1,0,0,.000,104,26.0,24,2,6,2,11,9,8,1.15,4.20
マ,21,内　竜也,1.80,27,1,1,4,9,.500,102,25.0,23,2,4,3,23,7,5,1.08,2.80
マ,33,南　昌輝,0.36,26,1,0,0,6,1.000,110,25.0,19,0,15,1,22,1,1,1.36,3.28
マ,16,中後　悠平,4.87,27,2,0,0,5,1.000,96,20.1,21,1,13,4,15,11,11,1.67,4.79
マ,44,ペン,3.98,4,1,2,0,0,.333,87,20.1,21,0,7,0,15,11,9,1.38,2.68
マ,99,カルロス・ロサ,6.00,16,0,1,0,1,.000,77,15.0,24,2,6,1,13,13,10,2.00,4.52
マ,13,橋本　健太郎,4.20,13,0,0,0,1,.000,70,15.0,13,1,8,2,12,9,7,1.40,4.39
マ,27,古谷　拓哉,5.79,10,0,0,0,0,.000,48,9.1,15,2,6,0,2,6,6,2.25,7.41
マ,42,香月　良仁,5.40,2,1,1,0,0,.500,40,8.1,10,0,6,0,5,8,5,1.92,4.08
