Team,背番号,選手名,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,長打率,出塁率
広,45,桒原　樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,59,美間　優槻,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,32,白濱　裕太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,26,廣瀬　純,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,40,倉　義和,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,13,プライディ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,00,中東　直己,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,64,多田　大輔,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,50,髙橋　大樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,68,中村　亘佑,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,7,長野　久義,.289,74,320,305,27,88,16,3,4,122,22,3,0,0,1,12,0,2,39,2,.400,.319
巨,6,坂本　勇人,.327,73,303,254,41,83,15,3,15,149,44,2,2,1,4,44,1,0,31,3,.587,.421
巨,25,村田　修一,.298,74,286,262,23,78,16,0,7,115,19,1,0,2,1,19,0,2,39,12,.439,.349
巨,22,小林　誠司,.197,65,226,198,10,39,6,0,0,45,15,0,1,11,1,14,1,2,38,5,.227,.256
巨,5,ギャレット,.239,58,223,197,22,47,5,1,12,90,33,0,0,0,0,23,0,3,44,5,.457,.327
巨,58,立岡　宗一郎,.231,45,193,173,14,40,6,1,2,54,9,8,2,6,0,10,0,4,28,1,.312,.289
巨,11,クルーズ,.260,48,190,181,17,47,6,0,6,71,25,0,1,0,2,5,0,2,24,6,.392,.284
巨,9,亀井　善行,.252,45,150,143,11,36,11,0,2,53,21,0,0,1,0,6,0,0,25,4,.371,.282
巨,10,阿部　慎之助,.276,24,99,87,10,24,3,0,3,36,10,0,0,1,0,8,0,3,16,3,.414,.357
巨,44,大田　泰示,.224,40,90,85,11,19,5,0,4,36,9,0,0,0,1,4,0,0,33,3,.424,.256
巨,8,片岡　治大,.236,28,81,72,9,17,3,0,2,26,4,4,0,4,0,5,1,0,6,2,.361,.286
巨,2,脇谷　亮太,.117,31,65,60,4,7,1,1,0,10,2,0,0,1,0,4,0,0,9,4,.167,.172
巨,43,重信　慎之介,.185,17,59,54,6,10,1,3,0,17,2,0,1,1,0,4,0,0,14,0,.315,.241
巨,32,橋本　到,.294,13,58,51,9,15,4,0,2,25,7,0,0,2,0,5,0,0,7,0,.490,.357
巨,31,松本　哲也,.244,24,46,41,5,10,1,0,0,11,1,2,0,3,0,1,0,1,13,1,.268,.279
巨,68,吉川　大幾,.176,38,38,34,5,6,0,0,0,6,1,1,2,2,0,2,0,0,11,0,.176,.222
巨,23,相川　亮二,.233,25,35,30,1,7,1,0,0,8,0,0,0,0,0,5,1,0,6,0,.267,.343
巨,56,山本　泰寛,.242,11,35,33,4,8,2,0,0,10,0,0,0,2,0,0,0,0,7,0,.303,.242
巨,51,堂上　剛裕,.100,15,22,20,1,2,0,0,1,5,1,0,0,0,0,2,0,0,7,1,.250,.182
巨,36,中井　大介,.125,13,20,16,0,2,0,0,0,2,1,0,0,0,0,3,0,1,4,0,.125,.300
巨,27,實松　一成,.267,8,17,15,3,4,1,0,1,8,1,0,0,1,0,1,0,0,2,0,.533,.313
巨,00,寺内　崇幸,.071,19,15,14,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,.071,.071
巨,42,アンダーソン,.250,3,12,12,0,3,0,0,0,3,1,0,0,0,0,0,0,0,4,0,.250,.250
巨,38,岡本　和真,.100,3,10,10,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,2,.200,.100
巨,65,辻　東倫,.125,5,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.125,.125
巨,79,ガルシア,.000,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000
巨,66,北　篤,.200,3,7,5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3,1,.200,.429
巨,12,鈴木　尚広,.667,21,3,3,8,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,.667,.667
巨,40,加藤　健,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
巨,64,鬼屋敷　正人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
