Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
日,27,中嶋　聡,.000,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
日,66,大嶋　匠,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,52,佐藤　賢治,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,68,浅沼　寿紀,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,50,市川　卓,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,62,今成　亮太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,12,松本　剛,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,60,荒張　裕司,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,53,尾崎　匡哉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,57,関口　雄大,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,49,石川　慎吾,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,67,紺田　敏正,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
マ,32,根元　俊一,.279,133,584,512,143,9,41,6,31,1,98,40,7,.396,.322,.718,4.16,4.01
マ,6,井口　資仁,.255,140,578,505,129,11,60,3,53,16,99,0,11,.384,.343,.727,4.73,4.70
マ,3,サブロー,.239,137,560,476,114,7,52,0,78,2,105,0,12,.342,.346,.689,4.29,4.32
マ,61,角中　勝也,.312,128,525,477,149,3,61,8,38,5,68,1,9,.415,.366,.782,5.67,5.43
マ,8,今江　敏晃,.253,136,501,446,113,6,47,0,19,5,37,23,15,.354,.287,.641,2.98,3.08
マ,66,岡田　幸文,.262,131,482,431,113,0,18,23,18,6,47,25,4,.288,.300,.587,2.82,2.85
マ,22,里崎　智也,.244,120,439,385,94,9,41,0,33,4,80,14,11,.345,.308,.654,3.38,3.46
マ,1,清田　育宏,.281,87,292,253,71,3,29,5,34,0,46,3,5,.391,.363,.755,5.00,4.90
マ,10,大松　尚逸,.198,89,275,258,51,5,22,0,9,2,46,3,7,.291,.228,.519,1.70,1.91
マ,64,ホワイトセル,.309,63,257,223,69,9,43,0,29,4,75,0,2,.489,.397,.886,7.37,7.16
マ,9,福浦　和也,.250,84,199,180,45,0,25,0,15,1,27,1,3,.267,.308,.575,2.92,3.03
マ,4,荻野　貴司,.224,61,187,165,37,1,8,13,11,5,17,6,0,.273,.293,.566,3.11,3.14
マ,35,鈴木　大地,.274,62,160,135,37,0,11,0,13,1,23,10,1,.326,.340,.666,4.07,4.00
マ,39,田中　雅彦,.205,50,95,83,17,0,8,1,7,1,17,4,2,.229,.275,.504,1.88,1.91
マ,5,伊志嶺　翔大,.200,24,64,60,12,0,1,1,3,0,14,1,1,.233,.238,.471,1.28,1.36
マ,65,南　竜介,.227,11,29,22,5,0,2,1,6,0,7,1,0,.273,.393,.666,5.10,5.09
マ,59,細谷　圭,.130,19,28,23,3,1,3,0,3,0,10,1,1,.304,.222,.527,1.06,1.71
マ,23,塀内　久雄,.118,61,20,17,2,0,2,0,0,1,4,2,0,.235,.167,.402,0.17,0.39
マ,58,青野　毅,.125,15,20,16,2,0,0,0,1,1,3,2,0,.125,.222,.347,0.58,0.81
マ,62,金澤　岳,.250,13,17,16,4,0,0,0,1,0,6,0,0,.313,.294,.607,3.35,3.22
マ,68,早坂　圭介,.000,68,13,11,0,0,0,2,1,0,5,1,0,.000,.083,.083,-1.64,-1.45
マ,25,工藤　隆人,.167,24,6,6,1,0,0,1,0,0,1,0,0,.167,.167,.333,1.04,1.19
マ,40,渡辺　正人,.000,2,3,3,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.77,-2.52
マ,00,高濱　卓也,.000,2,3,3,0,0,0,0,0,0,2,0,0,.000,.000,.000,-2.84,-2.61
マ,24,小池　翔大,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
マ,55,神戸　拓光,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
マ,50,翔太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
マ,63,青松　敬鎔,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
マ,67,的場　直樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
マ,53,江村　直也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
マ,2,今岡　誠,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,6,ヘルマン,.270,144,583,507,137,3,60,41,57,4,75,10,20,.343,.346,.689,4.06,4.05
西,3,中島　裕之,.311,136,567,499,155,13,74,7,52,9,76,1,10,.451,.382,.833,6.29,6.14
西,60,中村　剛也,.231,123,498,432,100,27,79,2,56,9,125,0,11,.461,.331,.792,5.04,5.16
