,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
190,ヤ,59,今浪　隆博,.317,68,139,123,39,2,13,1,12,0,14,3,1,.431,.375,.806,6.28,6.02
191,ヤ,10,森岡　良介,.188,75,125,112,21,1,9,1,8,1,22,3,6,.250,.246,.496,1.19,1.39
192,ヤ,60,三輪　正義,.233,87,102,86,20,0,7,4,9,0,23,6,1,.291,.302,.593,2.91,3.04
193,ヤ,85,ミレッジ,.211,24,81,76,16,1,9,0,5,0,16,0,1,.303,.259,.562,2.07,2.18
194,ヤ,8,武内　晋一,.197,51,71,66,13,0,3,0,4,0,15,1,1,.227,.243,.470,1.44,1.51
195,ヤ,4,バレンティン,.186,15,52,43,8,1,6,0,9,0,14,0,1,.302,.327,.629,3.47,3.61
196,ヤ,31,松元　ユウイチ,.170,39,51,47,8,0,5,0,3,0,5,0,1,.213,.216,.428,0.96,1.26
197,ヤ,3,西浦　直亨,.295,26,48,44,13,1,5,1,3,0,12,1,0,.477,.340,.818,6.24,5.90
198,ヤ,30,西田　明央,.147,13,40,34,5,1,2,0,3,0,11,3,1,.265,.216,.481,1.22,1.42
199,ヤ,51,藤井　亮太,.176,13,38,34,6,0,2,0,2,0,13,2,1,.206,.222,.428,0.45,0.57
200,ヤ,9,飯原　誉士,.219,18,34,32,7,0,3,0,1,0,9,0,1,.250,.235,.485,1.40,1.74
201,ヤ,57,松井　淳,.167,7,13,12,2,0,0,0,0,1,3,0,0,.167,.231,.397,0.90,1.13
202,ヤ,64,川崎　成晃,.091,13,12,11,1,0,0,0,1,0,1,0,0,.091,.167,.258,-0.49,-0.19
203,ヤ,46,谷内　亮太,.500,4,6,6,3,0,0,0,0,0,1,0,0,.667,.500,1.167,15.11,12.96
204,ヤ,28,田中　雅彦,.000,6,4,4,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.75,-2.50
205,ヤ,56,奥村　展征,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
206,ヤ,37,星野　雄大,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
207,ヤ,63,井野　卓,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
208,ヤ,36,川上　竜平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
209,ヤ,65,原　泉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210,ヤ,55,山川　晃司,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
